HOSPITAL OR CLNIC NAME ,PROVIDER TYPE,EMIRATE,ADDRESS,TELEPHONE,GOLD NETWORK,SILVER PREMIUM NETWORK,SILVER CLASSIC NETWORK,GREEN NETWORK,EMERALD NETWORK,PEARL NETWORK,DENTAL COVER,SPECIAL REMARKS
NMC ROYAL MEDICAL CENTER L.L.C. - AL KARAMA BRANCH,CLINIC,ABU DHABI,"NMC ROYAL MEDICAL CENTRE, NEAR INTERNATIONAL COMMUNITY SCHOOL, AL FARIS STREET, KARAMA",02-6144900,Covered,Covered,,,,,,
OPEN MR FOR SPINE SURGERY- BRANCH OF ABU DHABI 1,CLINIC,ABU DHABI,"VILLA # 66, KARAMAH STREET",02-4496613 ,Covered,,,,,,,
DR. ABDULA AZZAM,CLINIC,ABU DHABI,ELECTRA STREET,02-6344185,Covered,,,,,,,
AL RAZI CITY MEDICAL CENTER LLC,CLINIC,ABU DHABI," Zayed 1st street , Khalidya Area ,Al Awqaf Building , M0.",02-6224431,Covered,Covered,Covered,Covered,,Covered,Covered,
BASIL MEDICAL CENTER ,CLINIC,ABU DHABI,"F221A, 1ST FLOOR, MAFRAQ CENTRE, AL MAFRAQ WORKERS CITY 2, BANIYAS, ABU DHABI",02-6316831,Covered,Covered,Covered,Covered,Covered,Covered,,
PROVIDENCE INTERNATIONAL MEDICAL & COSMETIC/ABU DHABI/MF475,CLINIC,ABU DHABI,"Khalidya Street , Behind Choithram",02-6666675,Covered,Covered,,,,,,
AL KAMAL MEDICAL &DENTAL CLINIC,CLINIC,ABU DHABI,"KHALIDYA STREET , OPP. TO ABU DUBAI COMMERCIAL BANK ",02-6651464,Covered,Covered,Covered,Covered,Covered,,Covered,
LONDON CONSULTING MEDICAL CENTER LLC - MF4285 - ABU DHABI,CLINIC,ABU DHABI,"KHALIFA BIN SHAKBOOT STREET NO. 10, AL MANASEER VILLA NO. 253.",02-6261661,Covered,,,,,,,
MEDICLINIC - KHALIFA CITY LLC-ABU DHABI-MF4353,CLINIC,ABU DHABI,"#284 VILLA, NEAR POLICE STATION, KHALIFA A, ABU DHABI",8002000,Covered,Covered,Covered,Covered,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
FERTICLINIC FERTILIZATION CENTRE L.L.C - ABU DHABI - MF5302,CLINIC,ABU DHABI,"THEYAB BIN ISSA ST. KHALIFA CITY A VILLA 99, ABU DHABI",02-4441576,Covered,Covered,Covered,Covered,,,,
DIAMOND MEDICAL CENTER - AL AIN - MF4745,CLINIC,ABU DHABI,"BUILDING NO. 160, MOHD RASOL KHORI, KHALIFA STREET, AL AIN.",03-7844689,Covered,Covered,Covered,Covered,Covered,,,
AMWAJ MEDICAL CENTER,CLINIC,ABU DHABI,"KHALIFA STREET , OPP. OF AL NOOR HOSPITAL , SUBWAY RESTAURNT BLDG",02-6273888,Covered,Covered,Covered,Covered,,Covered,,
PRIMA CURE MEDICAL CENTER,CLINIC,ABU DHABI,"AL FALAH STREET, MIZAR SALEH BUILDING",02-6229993,Covered,Covered,Covered,Covered,,Covered,Covered,
OASIS MEDICAL CENTRE-BRANCH1-MF4552- AL AHILI GROUP,CLINIC,ABU DHABI,"OASIS BUILDING, AL FALAH STREET, NEAR CITIBANK, OLD PASSPORT ROAD, MADINAT ZAYED AREA",02-6763282,Covered,Covered,Covered,Covered,Covered,,Covered,
MUBARAK MEDICAL CENTER - BRANCH 1,CLINIC,ABU DHABI,AL MAFRAQ WORKERS CITY - 2,02-5837772,Covered,Covered,Covered,Covered,Covered,Covered,,
HOPE MEDICAL CENTER LLC - MF4598 - ABU DHABI,CLINIC,ABU DHABI,"GCC NEW OFFICE BUILDING, PLOT NO:384,BUILDING 46, NEAR AL HASSAN ENGINEERING CO, AL MAFRAQ INDUSTRIAL AREA - ABU DHABI.",02-5551430,Covered,Covered,Covered,Covered,Covered,,,
BURJEEL MEDICAL CENTRE BARARI L.L.LC - MF4463 - AL AIN - VPS GROUP,CLINIC,ABU DHABI,"USF-01,02 BARARI OUTLET MALL.",02-5085763,Covered,,,,,,,
AMERICAN CENTER FOR PSYCHIATRY & NEUROLOGY-ABU DHABI,CLINIC,ABU DHABI,INTERSECTION OF 26 WITH 11,02-6979999,Covered,Covered,,,,,,
UNIVERSAL SPECIALTY MEDICAL CENTER,CLINIC,ABU DHABI,"BUILDING #150, SHAABIE MUSAFFAH M9 ",02-5524425,Covered,Covered,Covered,Covered,,,,
WELLNESS ONE DAY SURGERY CENTRE LLC-MF3622-ABU DHABI,CLINIC,ABU DHABI,"AL ZAFRANAH, 21 MUROOR STREET, MUROOR, ABU DHABI",02-5089012,Covered,Covered,Covered,Covered,Covered,,,
YAS HEALTHCARE LLC-ABU DHABI-MF3563,CLINIC,ABU DHABI,"DUSIT THANI COMMERCIAL COMPLEX, AL MUROOR STREET, PO BOX 44852 ABU DHABI",02-3336903,Covered,Covered,,,,,,
CREATIVE DENTAL CLINIC-ABU DHBAI MF4593,CLINIC,ABU DHABI,"BUILDING - 1248, MUROOR STREET, ABU DHABI",02-4440458,Covered,Covered,Covered,Covered,Covered,,Covered,
AL AMEEN MEDICAL CENTRE LLC-BRANCH 1-/MF4058,CLINIC,ABU DHABI,"M 37, INDUSTRIAL AREA",02-5503115,Covered,Covered,Covered,Covered,Covered,,,
MEDLINE MEDICAL CENTRE LLC - ABU DHABI - MF3528,CLINIC,ABU DHABI,"M26, MUSAFFAH, ABU DHABI",02-5530577,Covered,Covered,Covered,Covered,Covered,,,
"TABA SPECIALIST MEDICAL CENTER, ABU DHABI",CLINIC,ABU DHABI,"MUSAFFAH SHABIYA, ME/9 ABU DHABI   UAE",02-5556603,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
HOME HEALTH MEDICAL CENTRE,CLINIC,ABU DHABI,MUSAFFAH SHABYIA,02-5530162,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
GOLDEN CURE MEDICAL CENTRE LLC-MF304,CLINIC,ABU DHABI,"MUSAFFAH, SHABIYA, ME/11, STREET NO-35, BUILDING NO.5799",02-6270890,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MEDSTAR ICAD MEDICAL CENTER LLC-MF3931-MEDSTAR,CLINIC,ABU DHABI,"MUSSAFAH , ABU DHABI , UAE",02-5845657,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MARDAN MEDICAL CENTER - SOLE PROPRIETORSHIP L.L.C - ABU DHABI - MF4772,CLINIC,ABU DHABI,"BUILDING 1,  STREET 12,MUSAFFAH SANAYA 32/2,ABU DHABI",02-4411413,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MESK ALMADINA MEDICAL CENTER-ABU DHABI/ MF4048,CLINIC,ABU DHABI,"ICAD M40 PLOT 96, MUSSAFAH",02-5504333,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
BIOLIFE MEDICAL CENTER LLC - prev Apollo Medical Centre,CLINIC,ABU DHABI,"MEZZANINE FLOOR, C117, SHABIA ME9",02-5559495,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
NEW NATIONAL MEDICAL CENTRE,CLINIC,ABU DHABI,"MUSAFFAH ROAD, F-1 SHABIYA ROAD",02-5520100,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
DR.MOOPENS MEDICAL CENTRE,CLINIC,ABU DHABI,"MUSAFFAH, MUSAFFAH",02-5557078,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
RIGHT CHOICE MEDICAL CENTER- ABUDHABI,CLINIC,ABU DHABI,"MUSSAFAH SANAIYAH M-10, NEAR MAC HYPER MARKET, ABU DHABI",02-4917600,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AL TADAMON MEDICAL CENTRE - ABU DHABI - MF4199,CLINIC,ABU DHABI,"MUSSAFAH-41, ICAD RESIDENTIAL CITY, ABU DHABI, U.A. E",02-5636799,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
PRIME CARE MEDICAL CENTRE-ABU DHABI-MF2241,CLINIC,ABU DHABI,"MUSSAFFAH SANAYYA, M/4",02-5538188,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
"ALPHA MEDICAL CENTRE L.L.C, AUH (ALPHA MEDICAL GROUP) MF572
",CLINIC,ABU DHABI,"PLOT NO:1,AL FIRDOUS CENTER,SANAYYA-M3,MUSAFFAH", 02-5558383,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
Blue Ocean Medical Center - AUH - MF5613,CLINIC,ABU DHABI,"Same building of Blue Ocean Pharmacy, Opp to Karam Al Arab Restaurant, ME-10, Musaffah",02-5532323,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
LAHORE MEDICAL CENTRE  ABU DHABI - MF366,CLINIC,ABU DHABI,"17street ,Sanaiya Mussafah , M26, ABU DHABI",02-5462548,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
"MAXIM MEDICAL CENTRE L.L.C, MUSSAFAH (AL RAYYAN MEDICAL GROUP) MF3759",CLINIC,ABU DHABI,"AL DHAFRA WORK VILLAGE, ICAD -3 MUSSAFAH,ABUDHABI-UAE",02-5500161,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
UNIQUE PRIMARY HEALTH CARE CENTRE LLC - ABU DHABI - MF5052,CLINIC,ABU DHABI,"Al-sarab bulding, street 10,Mussafah , Abu Dhabi",02-5755333,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MAX CARE MEDICAL CENTER,CLINIC,ABU DHABI,mussafa m43,02-5555097,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
NEW HYDERABAD PRIMARY HEALTHCARE CENTRE - ABU DHABI - MF796,CLINIC,ABU DHABI,"OLD MUNICIPALITY BUILDING,101, NEAR MASJID AL DAWA, NEW MUSSAFAH, ABU DHABI",02-5522252,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
FAMOUS MEDICAL CENTRE L.L.C - ABU DHABI - MF4775,CLINIC,ABU DHABI,"PLOT 48 , M10, MUSSAFAH ICAD, ABU DHABI",02-5467888,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
EMERALD MEDICAL CENTRE LLC - ABU DHABI - MF3918,CLINIC,ABU DHABI,"SHOP 6,7,8,9. STREET 16, NEAR FRESH AND MORE, MUSSAFA M 37, ABU DHABI.",02-5554164,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BAB AL MADINA MEDICAL CENTER L.L.C - ABU DHABI - MF4569,CLINIC,ABU DHABI,"SHOP NO.6,PLOT NO 32M MOOSA AL AJBAN BUILDING, MUSSAFAH , ABU DHABI",02-6422464,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DR. SABAH AL-SAGBAN CLINIC,CLINIC,ABU DHABI,"MUROOR ROAD, OPPSITE TO EMIARTES MEDIA ",02-6330990,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DR. WALAA FAKHR MEDICAL CENTER,CLINIC,ABU DHABI,"NAJDA STREET, ABU DHABI ISLAMIC BANK BUILDING",02-6336662,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
BURJEEL MEDICAL CENTRE AL ZEINA-ABU DHABI-MF4436-VPS HEALTHCARE,CLINIC,ABU DHABI,"AL ZEINA, AL RAHA, ABU DHABI",02-6991113,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
NOOR AL AHLI MEDICAL CENTER-ABU DHABI-MF4437,CLINIC,ABU DHABI,"BUILDING NO. 243-A, NEAR OLD POLICE STATION, SANAYA, AL AIN, ABU DHABI",03-7665852,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
EXPRESS GAYATHI CLINIC-ABU DHABI-MF3779,CLINIC,ABU DHABI,"UAE EXCHANGE BUILDING, SANAYYA, GAYATHI",02-8744430,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
EASTERN AL AHILI MEDICAL CENTER-BRANCH1,CLINIC,ABU DHABI,"APITAL PHARMACY BUILDING, NEXT TO NBAD, MUSSAFAHA-2,",02-4442235,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
LLH MEDICAL CENTRE AL MUSAFFAH LLC,CLINIC,ABU DHABI,"M-FLOOR, C-173,ME-9, SHABIA 9, ABU DHABI",02-5557711,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
TAJMEEL SPECIALIZED MEDICAL CENTER L.L.C,CLINIC,ABU DHABI,"AL DAR HQ BUILDING, 23RD FLOOR, SHAHAMA ROAD, ABU DHABI",023047999,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
NMC ROYAL MEDICAL CENTER L.L.C - BRANCH SHAHAMA,CLINIC,ABU DHABI,"NMC ROYAL MEDICAL CENTRE, OPP. DEERFIELDS MALL, C170, SHAHMA",02-8859400,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
NEW SADD MAAREB MEDICAL CENTER,CLINIC,ABU DHABI,SHAHAMA,02-5633073,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
DAR AL SHIFA MEDICAL CENTRE,CLINIC,ABU DHABI,"TOURIST CLUB AREA, BEHIND DANA PLAZA",02-6456100,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL JESRAIN MEDICAL CENTRE,CLINIC,ABU DHABI,UM AL NAR,02-4473711,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AL NOOR HOSPITAL MEDICAL CENTRE-MARAWAH,CLINIC,ABU DHABI,BRAKA,02-8092100,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
ASAB CLINIC,CLINIC,ABU DHABI,ASAB,02-6034222,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
BUHASA CLINIC,CLINIC,ABU DHABI,BUHASA,02-6035269,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
DABBAYIA CLINIC,CLINIC,ABU DHABI,DHABBAYIA,02-6046789,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
HABSHAN CLINIC,CLINIC,ABU DHABI,HABSHAN,02-6038331,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
JABAL AL-DHANA CLINIC,CLINIC,ABU DHABI,JABAL AL-DHANA,02-6022444,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
SAHEL CLINIC,CLINIC,ABU DHABI,SAHEL,02-6049901,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
SHAH GENERAL CLINIC,CLINIC,ABU DHABI,SHAH,02-6044200,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
BURJEEL MEDICAL CENTRE ( YAS MALL ) LLC- VPS GROUP-ABUDHABI,CLINIC,ABU DHABI,YAS ISLAND,02-2054505,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
LLH MEDICAL CENTER AL MUSAFFAH L.L.C.BRANCH 3-VPS GROUP ABU DHABI,CLINIC,ABU DHABI,"M40. , ICAD, MUSAFFAH INDURSTRIAL AREA, ABU DHABI",02-4116450,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ABU DHABI MARINE OPERATING COMPANY CLINIC – RUWAIS HOSPITAL ,CLINIC,ABU DHABI,"Das Island, Abu Dhabi",02-6023882,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
NOOR ALAHLI MEDICAL CENTER-BRANCH 3-ABU DHABI-AHALIA GROUP,CLINIC,ABU DHABI,"NEAR DAR-AL-ULOOM SCHOOL, BANIYAS WEST",02-6811533,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
NORTHERN AL AHLIAH MEDICAL CENTRE-AHALIA GROUP,CLINIC,AJMAN,"Behind NBAD,Old passport road; Al Bustan; Al Wakf Building",06-7404941,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,DENTAL SERVICES COVERED UPTO EBP & BASIC NETWORK.
AL NAHRAIN MEDICAL CENTER-AJMAN,CLINIC,AJMAN,"6101-605, SKY TOWER BUILDING, SHEIKHA KHALIFA BIN ZAYED ROAD",06-7449144,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
AL AIN MEDICAL CENTER LLC - AJMAN,CLINIC,AJMAN,"AL AIN HYPERMARKET BUILDING, HAFIZ IBRAHIM, AL NUIMIA, AJMAN.",06-7406661,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
"ASTER SPECIALIST MEDICAL CENTER, AL MANAR TOWER (DM HEALTHCARE)",CLINIC,AJMAN,"Al Manar Tower, Sheikh Rashid bin Humeed Street, Opp. Honda Showroom, Ajman.",06-5308057,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
CITY MEDICAL CENTER (S.P.S-LLC),CLINIC,AJMAN,Al Nakheel Al Rumailah 1 - Ajman ,06-7441882,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
METRO MEDICAL CENTRE,CLINIC,AJMAN,"AL NUAIMIA, AJMAN",06-7469694,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
THUMBAY CLINIC LLC AL RASHIDEYA 1 - THUMBAY ELITE (THUMBAY GROUP),CLINIC,AJMAN,"AL QUDS STREET, RASHIDIYA-3, AJMAN",06-7119555,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
FAMILY MEDICAL CLINIC,CLINIC,AJMAN,"AL SHAMMA REAL ESTATE BUILDING, AL SHAMMA REAL ESTATE BUILDING",06-7457136,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
AL DHUHA MEDICAL CENTRE - AJMAN,CLINIC,AJMAN,"AL SHURAFA TOWER 1, SHAIKH BIN RASHID HUMAID STREET, NEAR NISSAN SHOWROOM, RUMAILAH, AJMAN.",06-7405633,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,DENTAL SERVICES COVERED UPTO EBP NETWORK.
"JABAL SINA MEDICAL CENTER LLC , AJMAN",CLINIC,AJMAN,"GROUND FLOOR, ESCAPE TOWER, SHEIKH RASHID BIN HUMID STREET, AJMAN",06-7402255,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
PRIME MEDICAL CENTER AJM -LLC (PRIME HEALTH CARE GROUP),CLINIC,AJMAN,"GROUND FLOOR, GRAND MALL, SHEIKH KHALIFA BIN ZAYED STREET, AJMAN, UAE",06-5752200,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,Psychiatric Benefits Not Covered
RIGHT HEALTH CLINIC JURF2 LLC,CLINIC,AJMAN,Jurf Industrial Zone 2 - Ajman, 06-7404141,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AJMAN MEDICAL CENTER,CLINIC,AJMAN,"MOEHAT STREET, NEW INDUSTRIAL AREA, AJAMAN",06-7430088,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,DENTAL SERVICES COVERED UPTO EBP NETWORK.
NMC MEDICAL CENTER AJMAN LLC ,CLINIC,AJMAN,"Near Safeer market , Samha Plaza, Rashidya, Ajman",06-5455966,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
AALIYA MEDICAL CENTRE LLC,CLINIC,AJMAN,"OPP KUWAIT HOSPITAL, ABOVE AL MANAMA S/M",06-7475599,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ELAJ MEDICAL CENTER- AJMAN,CLINIC,AJMAN,"RAMILAH AREA, RONA FASHION R/A, OPP. VERONA RESORT",06-7418880,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Covered,DENTAL SERVICES COVERED UPTO EBP NETWORK.
ACCESS MEDICAL CENTRE- AJMAN-DR.MOOPEN'S GROUP,CLINIC,AJMAN,"SHOP NO. 13, AL HAMRAIN CENTRE",06-7404778,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
AL SULTAN MEDICAL CENTER L.L.C-AJMAN,CLINIC,AJMAN,Villa Building;Mushierif Street;Ajman,06-7312929,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
ADVANCED MEDICAL CENTRE,CLINIC,AJMAN,"SHK RASHID BIN HUMAID STREET, UAE EXCHANGE BLDG",06-7441248,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"AMINA MEDICAL CENTER LLC, AJMAN- (ANGLO ARABIAN HEALTHCARE)",CLINIC,AJMAN,"BEHIND AJMAN UNIVERSITY, NEAR CITY LIFE MALL",06-7114304,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL BUSTAN MEDICAL CENTER- (AL GHARAFA MEDICAL CENTER),CLINIC,AJMAN,"JURF UAE EXCHANGE BLDG,NEAR CHINA MALL,JURF,AJMAN",06-7488202,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NEW IBIN SINA MEDICAL CENTRE,CLINIC,AJMAN,NEAR TRAFFIC & LICENSING DEPT,06-7414963,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
EVE MEDICAL CENTER-AJMAN,CLINIC,AJMAN,"NEXT TO HANI MALL-AL JURF, NEW IMMIGRATION OFFICE",06-7498046,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
"RIGHT HEALTH CLINIC JURF LLC, JURF-NEW SANAIYA GROUP",CLINIC,AJMAN,"SHOP NO-1, AL JURF INDUSTRIAL ZONE -2",06-7494969,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
OXYGEN MEDICAL CENTER AJMAN,CLINIC,AJMAN,"VILLA NUMBER 7, AL RUMAILAH, AJMAN",06-7406022,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
INTERNATIONAL SPECIALIST MEDICAL CENTRE - AJMAN,CLINIC,AJMAN,"NUAMIYA TOWERS, KUWAIT STREET",06-7463400,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Covered,DENTAL SERVICES COVERED UPTO EBP NETWORK.
ELAJ MEDICAL CENTRE L.L.C 01 - AJMAN,CLINIC,AJMAN,"37 COLLEGE ST ? AL NUAIMIA 2, AJMAN",06-7488808,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Covered,DENTAL SERVICES COVERED UPTO EBP NETWORK.
AL MADAR MEDICAL CENTER-AJMAN,CLINIC,AJMAN,"AL GHUMLASSI BLD, AL GHUMLASSI BLD",06-7412202,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
AL GHARAFA MEDICAL CENTER,CLINIC,AJMAN,"AL BUSTAN, AL AHALIA EXCHANGE BUILDING",06-7448322,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
IBN SINA MEDICAL CENTRE ,CLINIC,AJMAN,"AL QUDS ROAD, SHK. HUMAID BUILDING.",06-7457755,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
AL SANAIYA CLINIC- AJMAN,CLINIC,AJMAN,"NEAR ALU GLASS,NEXT TO CHINA MALL AL JURF",06-7484078,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
NATIONAL CLINIC,CLINIC,AJMAN,"NEW SANAIYA INDUSTRIAL AREA, ",06-7480780,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL NUAIMIA CLINIC,CLINIC,AJMAN,"NEW SANAIYA INDUSTRIAL AREA, NEAR SUN CITY SUPERMARKET",06-7432262,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL HAYAT CLINIC,CLINIC,AJMAN,"RASHID BIN HAMID STREET, OLD SEHEWATRAM BLDG.",06-7429589,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL SHROOQ CLINIC,CLINIC,AJMAN,"SHK HUMAID BIN ABDUL AZIZ STREET, ABOVE NATIONAL BANK OF UMM AL QUIWAN",06-7455688,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
ASTER MEDICAL CENTRE,CLINIC,AJMAN,"SHK KHALIFA BIN ZAYED ST, OPP ADNOC PETROL STATION",06-7314799,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
AL HELAL POLY CLINIC,CLINIC,AJMAN,"UTMAN BIN AFFAN ROAD, 2-3; F-1; SAYEED HAMID BUILDING",06-7410720,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ASTER MEDICAL CENTRE SILICON OASIS- DM HEALTHCARE,CLINIC,DUBAI,"101, 1ST  FLOOR, SILICON GATE 1, OPP. CHOITRAM",04-3332177,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ASTER MEDICAL CENTRE ABU HAIL BR OF DM HEALTHCARE,CLINIC,DUBAI,"SHOP NUMBER 2, SHEIKH SUHAIL BUILDING, NEAR CHITHRAM SUPER MARKET, HOR AL ANZ (EAST)",04-2692785,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
"BRIGHT SMILE DENTAL AND ORTHODONTIC CENTER, DUBAI",CLINIC,DUBAI,"105, 1ST FLOOR, AL SHAFAR BUILDING 7, AL WASL ROAD, AL BADAA",04-3449675,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
GLUCARE INTEGRATED DIABETES CENTER LLC,CLINIC,DUBAI,268 Al wasl Rd -Al Badaa -Dubai,04-2201570,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AL MUSALLA MEDICAL CENTRE(BRANCH AL BARSHAA)-Mena Healthcare,CLINIC,DUBAI,"6TH FLOOR, MUSALLA TOWER, BANK STREET",04-3705080,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ASTER MEDICAL CENTRE ASWAAQ MALL -BR OF D M HEALHTCARE LLC,CLINIC,DUBAI,ASWAAQ - AL BARSHA SOUTH COMMUNITY CENTRE,04-3471540,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
AL RAFA POLYCLINIC-BRANCH,CLINIC,DUBAI,"BARSHA, ICON TOWER",04-4534830,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
MEDICAL SPECIALISTS CENTRE-BRANCH,CLINIC,DUBAI,"BARSHA, NEAR MALL OF THE EMIRATES",04-3409495,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL BARSHA AL NOOR POLYCLINIC,CLINIC,DUBAI,"ELITE BUSINESS CENTRE
FLOOR NO :3 , FLAT NO : 301
IN FRONT OF LULU HYPERMARKET
ALBARSHA,DUBAI
",04-2218122,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
THE SMILE STUDIO DENTAL CLINIC,CLINIC,DUBAI,"OFFICE NO.105, YES BUSINESS CENTER, AL BARSHA 1",04-4563877,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
OPENMINDS PSYCHIATRY COUNSELLING AND NEUROSCIENCE  CENTRE  L.L.C- DUBAI,CLINIC,DUBAI,"TECOM, AL BARSHA, 9th Floor, Suit: 904,905",04-5727355,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
PESHAWAR MEDICAL CENTER LLC,CLINIC,DUBAI,"Al Barsha, Arjan,  Dubai, Al Salam building",04-7700948,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ASTER MEDICAL CENTRE AL BARSHA,CLINIC,DUBAI,"GROUND FLOOR, SHOP 1 & 13, ARENCO BUILDING",04-3472420,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
